EmployeeCode,LogDateTime,LogDate,LogTime,Direction
1285,2021-03-22 10:31:15,2021-03-22,10:31:15.0000000,in
00022,2021-03-22 14:32:15,2021-03-22,14:32:15.0000000,in
1184,2021-03-22 16:24:44,2021-03-22,16:24:44.0000000,in
00015,2021-03-22 17:46:36,2021-03-22,17:46:36.0000000,in
1141,2021-03-22 17:58:16,2021-03-22,17:58:16.0000000,in
058,2021-03-22 17:59:59,2021-03-22,17:59:59.0000000,in
00023,2021-03-22 18:00:04,2021-03-22,18:00:04.0000000,in
052,2021-03-22 18:01:02,2021-03-22,18:01:02.0000000,in
00022,2021-03-22 18:01:49,2021-03-22,18:01:49.0000000,in
00019,2021-03-22 18:01:52,2021-03-22,18:01:52.0000000,in
00025,2021-03-22 18:01:56,2021-03-22,18:01:56.0000000,in
00024,2021-03-22 18:01:58,2021-03-22,18:01:58.0000000,in
1290,2021-03-22 18:02:44,2021-03-22,18:02:44.0000000,in
00026,2021-03-22 18:03:47,2021-03-22,18:03:47.0000000,in
1123,2021-03-22 18:51:53,2021-03-22,18:51:53.0000000,in
0019,2021-03-22 18:51:55,2021-03-22,18:51:55.0000000,in
1285,2021-03-22 18:52:56,2021-03-22,18:52:56.0000000,in
1272,2021-03-22 18:54:24,2021-03-22,18:54:24.0000000,in
1272,2021-03-22 18:54:34,2021-03-22,18:54:34.0000000,in
1272,2021-03-22 18:54:35,2021-03-22,18:54:35.0000000,in
1289,2021-03-22 18:55:11,2021-03-22,18:55:11.0000000,in
3333,2021-03-22 19:05:32,2021-03-22,19:05:32.0000000,in
70000,2021-03-22 19:09:25,2021-03-22,19:09:25.0000000,in
70000,2021-03-22 19:11:08,2021-03-22,19:11:08.0000000,in
70000,2021-03-22 19:11:24,2021-03-22,19:11:24.0000000,in
70000,2021-03-22 20:39:29,2021-03-22,20:39:29.0000000,in
70000,2021-03-23 01:56:37,2021-03-23,01:56:37.0000000,in
70000,2021-03-23 01:59:03,2021-03-23,01:59:03.0000000,in
70000,2021-03-23 05:54:58,2021-03-23,05:54:58.0000000,in
70000,2021-03-23 07:37:02,2021-03-23,07:37:02.0000000,in
00025,2021-03-23 08:46:57,2021-03-23,08:46:57.0000000,in
058,2021-03-23 08:47:33,2021-03-23,08:47:33.0000000,in
00016,2021-03-23 08:47:42,2021-03-23,08:47:42.0000000,in
1289,2021-03-23 08:57:13,2021-03-23,08:57:13.0000000,in
052,2021-03-23 08:58:12,2021-03-23,08:58:12.0000000,in
00020,2021-03-23 09:00:26,2021-03-23,09:00:26.0000000,in
00022,2021-03-23 09:06:19,2021-03-23,09:06:19.0000000,in
1259,2021-03-23 09:11:04,2021-03-23,09:11:04.0000000,in
00026,2021-03-23 09:11:18,2021-03-23,09:11:18.0000000,in
00019,2021-03-23 09:11:52,2021-03-23,09:11:52.0000000,in
00024,2021-03-23 09:13:09,2021-03-23,09:13:09.0000000,in
1002,2021-03-23 09:13:14,2021-03-23,09:13:14.0000000,in
00023,2021-03-23 09:15:57,2021-03-23,09:15:57.0000000,in
3333,2021-03-23 09:16:23,2021-03-23,09:16:23.0000000,in
00015,2021-03-23 09:16:51,2021-03-23,09:16:51.0000000,in
0019,2021-03-23 09:17:18,2021-03-23,09:17:18.0000000,in
1285,2021-03-23 09:22:28,2021-03-23,09:22:28.0000000,in
00017,2021-03-23 09:23:57,2021-03-23,09:23:57.0000000,in
0755,2021-03-23 09:26:13,2021-03-23,09:26:13.0000000,in
1290,2021-03-23 09:27:37,2021-03-23,09:27:37.0000000,in
1271,2021-03-23 09:32:52,2021-03-23,09:32:52.0000000,in
1123,2021-03-23 09:34:43,2021-03-23,09:34:43.0000000,in
1184,2021-03-23 09:40:17,2021-03-23,09:40:17.0000000,in
0888,2021-03-23 10:59:04,2021-03-23,10:59:04.0000000,in
0888,2021-03-23 12:34:05,2021-03-23,12:34:05.0000000,in
0019,2021-03-23 14:10:53,2021-03-23,14:10:53.0000000,in
1272,2021-03-23 14:20:04,2021-03-23,14:20:04.0000000,in
058,2021-03-23 17:06:00,2021-03-23,17:06:00.0000000,in
061,2021-03-23 17:06:09,2021-03-23,17:06:09.0000000,in
1281,2021-03-23 17:06:14,2021-03-23,17:06:14.0000000,in
00025,2021-03-23 17:56:52,2021-03-23,17:56:52.0000000,in
3333,2021-03-23 18:00:28,2021-03-23,18:00:28.0000000,in
061,2021-03-23 18:01:46,2021-03-23,18:01:46.0000000,in
1281,2021-03-23 18:01:48,2021-03-23,18:01:48.0000000,in
058,2021-03-23 18:01:49,2021-03-23,18:01:49.0000000,in
058,2021-03-23 18:01:55,2021-03-23,18:01:55.0000000,in
058,2021-03-23 18:02:02,2021-03-23,18:02:02.0000000,in
00016,2021-03-23 18:02:11,2021-03-23,18:02:11.0000000,in
00023,2021-03-23 18:02:18,2021-03-23,18:02:18.0000000,in
058,2021-03-23 18:02:32,2021-03-23,18:02:32.0000000,in
00026,2021-03-23 18:03:41,2021-03-23,18:03:41.0000000,in
00021,2021-03-23 18:05:56,2021-03-23,18:05:56.0000000,out
00021,2021-03-23 18:06:00,2021-03-23,18:06:00.0000000,out
052,2021-03-23 18:06:31,2021-03-23,18:06:31.0000000,out
00019,2021-03-23 18:06:34,2021-03-23,18:06:34.0000000,out
00022,2021-03-23 18:10:06,2021-03-23,18:10:06.0000000,out
00024,2021-03-23 18:10:09,2021-03-23,18:10:09.0000000,out
00020,2021-03-23 18:10:11,2021-03-23,18:10:11.0000000,out
00015,2021-03-23 18:10:50,2021-03-23,18:10:50.0000000,out
1285,2021-03-23 18:16:57,2021-03-23,18:16:57.0000000,out
0019,2021-03-23 18:39:38,2021-03-23,18:39:38.0000000,out
1272,2021-03-23 18:54:39,2021-03-23,18:54:39.0000000,out
1289,2021-03-23 19:04:22,2021-03-23,19:04:22.0000000,out
1123,2021-03-23 19:04:26,2021-03-23,19:04:26.0000000,out
0019,2021-03-23 19:54:59,2021-03-23,19:54:59.0000000,out
70000,2021-03-23 20:51:56,2021-03-23,20:51:56.0000000,out
70000,2021-03-23 21:14:42,2021-03-23,21:14:42.0000000,out
1290,2021-03-23 22:05:02,2021-03-23,22:05:02.0000000,out
0847,2021-03-23 22:44:08,2021-03-23,22:44:08.0000000,out
70000,2021-03-23 22:46:19,2021-03-23,22:46:19.0000000,out
70000,2021-03-24 06:27:32,2021-03-24,06:27:32.0000000,in
70000,2021-03-24 07:41:19,2021-03-24,07:41:19.0000000,in
00021,2021-03-24 08:40:33,2021-03-24,08:40:33.0000000,in
00025,2021-03-24 08:53:09,2021-03-24,08:53:09.0000000,in
1289,2021-03-24 08:56:16,2021-03-24,08:56:16.0000000,in
1141,2021-03-24 08:56:52,2021-03-24,08:56:52.0000000,in
00020,2021-03-24 08:58:25,2021-03-24,08:58:25.0000000,in
00022,2021-03-24 08:58:28,2021-03-24,08:58:28.0000000,in
00026,2021-03-24 08:59:02,2021-03-24,08:59:02.0000000,in
00026,2021-03-24 08:59:08,2021-03-24,08:59:08.0000000,in
00019,2021-03-24 09:00:08,2021-03-24,09:00:08.0000000,in
0019,2021-03-24 09:00:19,2021-03-24,09:00:19.0000000,in
00024,2021-03-24 09:07:59,2021-03-24,09:07:59.0000000,in
0847,2021-03-24 09:09:11,2021-03-24,09:09:11.0000000,in
00015,2021-03-24 09:09:19,2021-03-24,09:09:19.0000000,in
3333,2021-03-24 09:10:09,2021-03-24,09:10:09.0000000,in
052,2021-03-24 09:17:26,2021-03-24,09:17:26.0000000,in
